AA1S201C	VAC10061	1	Parameters Datation	9	17	T	D	P	R		N				
AA1S201C	VAC10062	2	Parameters Datation	9	17	T	D	P	R		N				
AA2S200C	VAC10061	1	Parameters Datation	9	17	T	D	P	R		N				
AA2S200C	VAC10062	2	Parameters Datation	9	17	T	D	P	R		N				
AACC003A	VACC0031	1	AIU_SelConfig_Nom	3	4	A	D	P	E		T			1676	
AACC003A	VACC0032	2	AIU_SelConfig_Redu	3	4	A	D	P	E		T			1676	
AACC003B	VACC0031	1	AIU_SelConfig_Nom	3	4	A	D	P	E		T			1676	
AACC003B	VACC0032	2	AIU_SelConfig_Redu	3	4	A	D	P	E		T			1676	
AACC003C	VACC0031	1	AIU_SelConfig_Nom	3	4	A	D	P	E		T			1676	
AACC003C	VACC0032	2	AIU_SelConfig_Redu	3	4	A	D	P	E		T			1676	
AACC004A	VACC0041	1	Config:Nom encoder:SaY+	2	2	A	D	P	E		T			1669	
AACC004A	VACC0042	2	Config:Nom encoder:SaY-	2	2	A	D	P	E		T			1669	
AACC004A	VACC0043	3	Config:Nom MotorCmd:SaY+	2	2	A	D	P	E		T			1669	
AACC004A	VACC0044	4	Config:Nom MotorCmd:SaY-	2	2	A	D	P	E		T			1669	
AACC004A	VACC0045	5	Config:Red encoder:SaY+	2	2	A	D	P	E		T			1669	
AACC004A	VACC0046	6	Config:Red encoder:SaY-	2	2	A	D	P	E		T			1669	
AACC004A	VACC0047	7	Config:Red MotorCmd:SaY+	2	2	A	D	P	E		T			1669	
AACC004A	VACC0048	8	Config:Red MotorCmd:SaY-	2	2	A	D	P	E		T			1669	
AACC004B	VACC0041	1	Config:Nom encoder:SaY+	2	2	A	D	P	E		T			1669	
AACC004B	VACC0042	2	Config:Nom encoder:SaY-	2	2	A	D	P	E		T			1669	
AACC004B	VACC0043	3	Config:Nom MotorCmd:SaY+	2	2	A	D	P	E		T			1669	
AACC004B	VACC0044	4	Config:Nom MotorCmd:SaY-	2	2	A	D	P	E		T			1669	
AACC004B	VACC0045	5	Config:Red encoder:SaY+	2	2	A	D	P	E		T			1669	
AACC004B	VACC0046	6	Config:Red encoder:SaY-	2	2	A	D	P	E		T			1669	
AACC004B	VACC0047	7	Config:Red MotorCmd:SaY+	2	2	A	D	P	E		T			1669	
AACC004B	VACC0048	8	Config:Red MotorCmd:SaY-	2	2	A	D	P	E		T			1669	
AACC005B	VACC0051	1	SM Code	3	5	A	D	P	E		T			2994	
AACC005B	VACC0052	2	SM Code	3	5	A	D	P	E		T			2994	
AACC005B	VACC0053	3	SM Code	3	5	A	D	P	E		T			2994	
AACC005B	VACC0054	4	SM Code	3	5	A	D	P	E		T			2994	
AACC005B	VACC0055	5	GrndSelConf Nom	3	4	A	D	P	E		T			1676	
AACC005B	VACC0056	6	GrndSelConf Red	3	4	A	D	P	E		T			1676	
AACC005C	VACC0057	1	GrndSelConf Nom	3	4	A	D	P	E		T			1676	
AACC005C	VACC0058	2	GrndSelConf Red	3	4	A	D	P	E		T			1676	
AACC006A	VACR0061	1	SAS X Nominal	2	2	A	D	P	E		T			1676	NA
AACC006A	VACR0062	2	SAS XZ Nominal	2	2	A	D	P	E		T			1676	NA
AACC006A	VACR0063	3	SAS YP Nominal	2	2	A	D	P	E		T			1676	NA
AACC006A	VACR0064	4	SAS YM Nominal	2	2	A	D	P	E		T			1676	NA
AACC006A	VACR0065	5	SAS X Redundant	2	2	A	D	P	E		T			1676	NA
AACC006A	VACR0066	6	SAS XZ Redundant	2	2	A	D	P	E		T			1676	NA
AACC006A	VACR0067	7	SAS YP Redundant	2	2	A	D	P	E		T			1676	NA
AACC006A	VACR0068	8	SAS YM Redundant	2	2	A	D	P	E		T			1676	NA
AACC006B	VACR0061	1	SAS X Nominal	2	2	A	D	P	E		T			1676	NA
AACC006B	VACR0062	2	SAS XZ Nominal	2	2	A	D	P	E		T			1676	NA
AACC006B	VACR0063	3	SAS YP Nominal	2	2	A	D	P	E		T			1676	NA
AACC006B	VACR0064	4	SAS YM Nominal	2	2	A	D	P	E		T			1676	NA
AACC006B	VACR0065	5	SAS X Redundant	2	2	A	D	P	E		T			1676	NA
AACC006B	VACR0066	6	SAS XZ Redundant	2	2	A	D	P	E		T			1676	NA
AACC006B	VACR0067	7	SAS YP Redundant	2	2	A	D	P	E		T			1676	NA
AACC006B	VACR0068	8	SAS YM Redundant	2	2	A	D	P	E		T			1676	NA
AACC008A	VACR0081	1	Nb Imp Op	3	4	U	D	P	R		N				
AACC008A	VACR0082	2	Nb Imp Safe	3	4	U	D	P	R		N				
AACC008A	VACR0083	3	Imp M Conf	2	2	A	D	P	E		T			1678	NA
AACC008A	VACR0084	4	Imp V Conf	2	2	A	D	P	E		T			1678	NA
AACC008A	VACR0085	5	Imp R Conf	2	2	A	D	P	E		T			1678	NA
AACC008A	VACR0086	6	XYZ_M Imp Conf	2	3	A	D	P	E		T			1679	NA
AACC008A	VACR0087	7	XYZ_V Imp Conf	2	3	A	D	P	E		T			1679	NA
AACC008A	VACR0088	8	XYZ_R Imp Conf	2	3	A	D	P	E		T			1679	NA
AACC009A	VAC00901	1	GrndSelConf Nom	3	4	A	D	P	E		T			1676	
AACC009A	VAC00902	2	GrndSelConf Red	3	4	A	D	P	E		T			1676	
AACC009B	VAC00901	1	GrndSelConf Nom	3	4	A	D	P	E		T			1676	
AACC009B	VAC00902	2	GrndSelConf Red	3	4	A	D	P	E		T			1676	
AACC009C	VAC00901	1	GrndSelConf Nom	3	4	A	D	P	E		T			1676	
AACC009C	VAC00902	2	GrndSelConf Red	3	4	A	D	P	E		T			1676	
AACC009D	VAC00901	1	GrndSelConf Nom	3	4	A	D	P	E		T			1676	
AACC009D	VAC00902	2	GrndSelConf Red	3	4	A	D	P	E		T			1676	
AACC010A	VAC01001	1	Nom Camera Config	4	4	A	D	P	E		T			1669	
