AA1S100A	sun AFB test FDIR v02		B	0	2	N	N	Y	1	16:55:05	A1-SEQ-100	2	04/02/2008	
AA1S100B	nominal sun FDIR v02		B	0	4	N	N	Y	1	16:55:05	A1-SEQ-100	2	04/02/2008	
AA1S100C	B-MTL sun FDIR v02		B	0	2	N	N	Y	1	16:55:05	A1-SEQ-100	2	04/02/2008	
AA1S100D	CAM AFB test FDIR v02		B	0	13	N	N	Y	1	16:55:06	A1-SEQ-100	2	04/02/2008	
AA1S100E	nominal CAM FDIR v02		B	0	11	N	N	Y	1	16:55:07	A1-SEQ-100	2	04/02/2008	
AA1S201A	AFB Sun Surv FDIR v04	AFB Sun surveillances FDIR setting	B	0	2	N	N	Y	1	15:11:27	A1-SEQ-201	4	23/07/2009	
AA1S201B	Nominal Sun FDIR set v04	Nominal Sun FDIR setting	B	0	4	N	N	Y	1	15:11:27	A1-SEQ-201	4	23/07/2009	
AA1S201C	STRs cmd lost space v04	STRs command to lost in space	B	2	2	N	N	Y	1	15:11:28	A1-SEQ-201	4	23/07/2009	
AA1S201D	Dis STR ORB restart v04	Disable STR ORB auto restart	B	0	1	N	N	Y	1	15:11:29	A1-SEQ-201	4	23/07/2009	
AA1S201E	AOCS TM Mode for AFB v04	AOCS TM Mode for AFB	B	0	3	N	N	Y	1	15:11:30	A1-SEQ-201	4	23/07/2009	
AA1S201F	Set 8 Hz memory cell v04	Set 8 Hz memory cell acquisition for AFM	B	0	6	N	N	Y	1	15:11:31	A1-SEQ-201	4	23/07/2009	
AA1S201G	TM bit rate S12 mgm v04	TM bit rate S12 management	B	1	2	N	N	Y	1	15:11:32	A1-SEQ-201	4	23/07/2009	
AA1S201H	SR switch to CC27 v04	OSIRIS switch to CC27 packet store	B	0	4	N	N	Y	1	15:11:34	A1-SEQ-201	4	23/07/2009	
AA1S201I	SR switch to CC07 v04	OSIRIS switch to CC07 packet store	B	0	4	N	N	Y	1	15:11:36	A1-SEQ-201	4	23/07/2009	
AA1S201L	SR switch to CC27 CA v04	OSIRIS switch to CC27 after closest approach	B	0	4	N	N	Y	1	15:11:37	A1-SEQ-201	4	23/07/2009	
AA1S201M	SREM breakpoint mgm v04	SREM breakpoint management	B	0	2	N	N	Y	1	15:11:39	A1-SEQ-201	4	23/07/2009	
