ZAC00327	A	PAD, 1 Octet	8	0			R	0	
ZAC00327	E		8	8		FAC00SID	D		
ZAC00327	F		3	16		FACD0327	D		
ZAC00327	E		4	20		FACD0328	D		
ZAC00327	E		8	24		FACD0329	D		
ZAC00327	E		1	19		FACD0330	D		
ZAC01100	E		8	0		FAC30001	D		
ZAC01100	E		8	8		FAC30002	D		
ZAC01100	E		16	16		FAC30003	D		
ZAC01100	E		16	32	4	FAC30004	D		
ZAC01150	A	Not Used	8	0			R	0	
ZAC01150	E		8	8		FAC30002	D		
ZAC01150	E		16	16		FAC30003	D		
ZAC01150	E		16	32	4	FAC30004	D		
ZAC01200	A	Pad	8	0			R	0	
ZAC01200	E		8	8		FAC30002	D		
ZAC01250	A	Pad	8	0			R	0	
ZAC01250	E		8	8		FAC30002	D		
ZAC01301	A	value to adress Processo	8	0			R	1	
ZAC01301	E		8	8	3	FAC30009	D		
ZAC01302	A	value to adress Processo	8	0			R	2	
ZAC01302	E		8	8	3	FAC30009	D		
ZAC01307	A	value to adress Processo	8	0			R	1	
ZAC01307	E		8	8	3	FAC30009	D		
ZAC01351	A	value to adress Processo	8	0			R	1	
ZAC01351	E		8	8	2	FAC30009	D		
ZAC01352	A	value to adress Processo	8	0			R	2	
ZAC01352	E		8	8	2	FAC30009	D		
ZAC01371	A	value to adress Processo	8	0			R	1	
ZAC01371	E		8	8	2	FAC30009	D		
ZAC01372	A	value to adress Processo	8	0			R	2	
ZAC01372	E		8	8	2	FAC30009	D		
ZAC10011	A	Memory ID: DSP MCM Prog	8	0			R	15	
ZAC10011	A	N = 1	8	8			R	1	
ZAC10011	E		32	16		FAC10050	D		
ZAC10011	E		16	48	3	FAC10054	D		
ZAC10012	A	Memory ID: DSP MCM data	8	0			R	16	
ZAC10012	A	N = 1	8	8			R	1	
ZAC10012	E		32	16		FAC10051	D		
ZAC10012	E		16	48	2	FAC10055	D		
ZAC10012	E		16	64		FAC10047	D		
ZAC10012	E		16	80		FAC10047	D		
ZAC10014	A	Memory ID: EEPROM Memory	8	0			R	18	
ZAC10014	A	N = 1	8	8			R	1	
ZAC10014	E		32	16		FAC10053	D		
ZAC10014	E		16	48	1	FAC10056	D		
ZAC10014	E		16	64		FAC10047	D		
ZAC10014	E		16	80		FAC10047	D		
ZAC10021	A	Memory ID: DSP MCM Prog	8	0			R	15	
ZAC10021	A	N = 1	8	8			R	1	
ZAC10021	E		32	16		FAC10050	D		
ZAC10021	E		16	48		FAC10057	D		
ZAC10022	A	Memory ID: DSP MCM data	8	0			R	16	
ZAC10022	A	N = 1	8	8			R	1	
ZAC10022	E		32	16		FAC10051	D		
ZAC10022	E		16	48		FAC10058	D		
ZAC10023	A	Memory ID: DSP PROM	8	0			R	17	
ZAC10023	A	N = 1	8	8			R	1	
ZAC10023	E		32	16		FAC10052	D		
ZAC10023	E		16	48		FAC10059	D		
ZAC10024	A	Memory ID: EEPROM Memory	8	0			R	18	
ZAC10024	A	N = 1	8	8			R	1	
ZAC10024	E		32	16		FAC10053	D		
ZAC10024	E		16	48		FAC10060	D		
ZAC10031	A	Memory ID: DSP MCM Prog	8	0			R	15	
ZAC10031	A	N = 1	8	8			R	1	
ZAC10031	E		32	16		FAC10050	D		
ZAC10031	E		16	48		FAC10057	D		
ZAC10032	A	Memory ID: DSP MCM data	8	0			R	16	
ZAC10032	A	N = 1	8	8			R	1	
ZAC10032	E		32	16		FAC10051	D		
ZAC10032	E		16	48		FAC10058	D		
ZAC10033	A	Memory ID: DSP PROM	8	0			R	17	
ZAC10033	A	N = 1	8	8			R	1	
ZAC10033	E		32	16		FAC10052	D		
ZAC10033	E		16	48		FAC10059	D		
ZAC10034	A	Memory ID: EEPROM Memory	8	0			R	18	
ZAC10034	A	N = 1	8	8			R	1	
ZAC10034	E		32	16		FAC10053	D		
ZAC10034	E		16	48		FAC10060	D		
ZAC10080	E		16	0		FAC10007	D		
ZAC10091	A	Reset SW	8	0			R	5	
ZAC10091	F		8	8		FAC10009	D		
ZAC10092	A	Reset HW code	8	0			R	6	
ZAC10092	F		8	8		FAC10009	D		
ZAC10093	A	Reset Watchdog Code	8	0			R	7	
ZAC10093	F		8	8		FAC10009	D		
ZAC10100	E		16	0		FAC10010	D		
ZAC10100	E		32	16		FAC10011	D		
ZAC10100	E		32	48		FAC10012	D		
ZAC10100	E		32	80		FAC10013	D		
ZAC10100	E		32	112		FAC10014	D		
ZAC10100	E		32	144		FAC10015	D		
ZAC10100	E		32	176		FAC10016	D		
ZAC10110	E		8	0		FAC10017	D		
ZAC10110	E		8	8		FAC10018	D		
ZAC10110	E		32	16		FAC10019	D		
ZAC10231	E		8	0		FAC10020	D		
ZAC10231	E		8	8	3	FAC10021	D		
ZAC10242	E		8	0		FAC10073	D		
ZAC10242	E		8	8		FAC10074	D		
ZAC10271	E		16	0		FAC10048	D		
ZAC10271	F		24	16		FAC10026	D		
ZAC10271	E		8	40		FAC10027	D		
ZAC10281	E		48	0		FAC10031	D		
ZAC10281	F		16	48		FAC10032	D		
ZAC10281	E		16	64		FAC10025	D		
ZAC10281	E		8	80		FAC10027	D		
ZAC10281	F		8	88		FAC10009	D		
ZAC10281	E		1	99		FACD0001	D		
ZAC10281	E		1	100		FACD0002	D		
ZAC10281	E		1	101		FACD0003	D		
ZAC10281	E		1	102		FACD0004	D		
ZAC10281	E		1	103		FACD0005	D		
ZAC10281	F		3	96		FACD0011	D		
ZAC10281	E		1	107		FACD0006	D		
ZAC10281	E		1	108		FACD0007	D		
ZAC10281	E		1	109		FACD0008	D		
ZAC10281	E		1	110		FACD0009	D		
ZAC10281	E		1	111		FACD0010	D		
ZAC10281	F		3	104		FACD0012	D		
ZAC10291	E		16	0		FAC10048	D		
ZAC10291	F		8	16		FAC10009	D		
ZAC10291	E		8	24		FAC10027	D		
ZAC10291	E		16	32		FAC10040	D		
ZAC10291	E		16	48		FAC10041	D		
ZAC10291	E		16	64		FAC10042	D		
ZAC10291	E		16	80		FAC10043	D		
ZAC10292	E		48	0		FAC10061	D		
ZAC10292	E		16	48		FAC10062	D		
ZAC10292	E		8	64		FAC10027	D		
ZAC10292	E		8	72		FAC10063	D		
