D0000032	1	32 Parameter Template
D0000064	3	64 Parameter Template
DACA0001	3	AOCS ATTITUDE
DACA0002	1	AOCS Grd Guidance Params
DACA0003	3	AOCS PID/SAM Controller.
DACA0004	3	AOCS Attitude Information 1
DACA0005	3	AOCS SAM Estimator.
DACA0006	3	AOCS Controller Flags.
DACA0007	3	AOCS Stellar Estimator Data
DACA0008	3	AOCS Auto Guid Params
DACA0009	3	AOCS ORB Unit States
DACA0010	3	AOCS ORB Unit Configuration
DACA0020	3	AOCS Present Ephemeris Coeff
DACA0021	3	AOCS Future Ephemeris Coef
DACA0022	3	AOCS Grd Guid Current Segmt
DACA0023	3	AOCS Grd Guid Future Segmt
DACA0024	1	AOCS Inertia Matrix
DACA0025	1	Guidance On Ephemeris
DACA0050	3	AOCS SAM Params
DACA0051	3	AOCS SKM Params
DACA0052	3	AOCS SHM Params
DACA0053	3	AOCS OCM Params
DACA0054	3	AOCS NSHM Params
DACA0055	3	AOCS SPM Params
DACA0056	3	AOCS AFM Params 1
DACA0057	3	AOCS AFM Params 2
DACA0058	3	AOCS OCM Checklist part one
DACA0059	3	AOCS OCM Checklist part two
DACA0060	3	AOCS HM params
DACA0100	1	AOCS Bootstrap Data
DACA0600	3	AOCS HK TM - Descripts 1 to 12
DACA0601	3	AOCS HK TM - Descripts 13 to 24
DACA0602	3	AOCS HK TM - Descripts 25 to 36
DACA0603	3	AOCS HK TM - Descripts 37 to 48
DACA0604	1	AOCS HK TM - Descripts 49 to 50
DACA1000	3	AIU & ACM TM Overview
DACA1001	3	AIU INTERNAL RELAYS
DACA1002	3	AIU MACS & TC Buffer
DACA1100	3	IMP TM Overview
DACA1101	3	IMP ORB Measurements & Data
DACA1110	3	IMP A Overall Status 1
DACA1111	3	IMP A Overall Status 2
DACA1112	3	IMP A HF Acquisitions 1 & 24
DACA1113	3	IMP A Strikes Status
DACA1120	3	IMP B Overall Status 1
DACA1121	3	IMP B Overall Status 2
DACA1122	3	IMP B HF Acquisitions 1 & 24
DACA1123	3	IMP B Strikes Status
DACA1130	3	IMP C Overall Status 1
DACA1131	3	IMP C Overall Status 2
DACA1132	3	IMP C HF Acquisitions 1 & 24
DACA1133	3	IMP C Strikes Status
DACA1200	3	STR TM Overview
DACA1201	3	STR A SWR TM
DACA1202	1	STR A HK TM
DACA1203	1	STR A Tracking Data TM
DACA1204	3	STR A Cartography Data
DACA1205	3	STR A Commanded Star Track
DACA1206	1	STR A Health Check Data
DACA1207	3	STR A Self Test Report
DACA1251	3	STR B SWR TM
DACA1252	1	STR B HK TM
DACA1253	1	STR B Tracking Data TM
DACA1254	3	STR B Cartography Data
DACA1255	3	STR B Commanded Star Track
DACA1256	1	STR B Health Check Data
DACA1257	3	STR B Self Test Report
DACA1300	3	CAM TM Overview
DACA1301	3	CAM A Misc Data
DACA1302	1	CAM A HK TM
DACA1303	3	CAM A Asteroid Tracking
DACA1304	3	CAM A Point Target Trackin
DACA1305	3	CAM A Self Test Report
DACA1351	3	CAM B Misc Data
DACA1352	1	CAM B HK TM
DACA1353	3	CAM B Asteroid Tracking
DACA1354	3	CAM B Point Target Trackin
DACA1355	3	CAM B Self Test Report
DACA1400	3	RW Assembly TM Overview
DACA1401	3	RW 1&2 SWR Data
DACA1402	3	RW 3&4 SWR Data
DACA1403	3	RW ORB Data
DACA1500	3	SAS TM Overview
DACA1501	3	SAS Current Measurements
DACA1600	3	SADE TM Overview
DACA1601	3	SADE Controller
DACA1602	3	SADE Direct HK TM
DACA1700	3	APME TM Overview
DACA1701	3	APME SWR Data
DACA1702	3	APME Direct HK TM
DACA1800	3	RCS TM Overview
DACA1801	3	RCS Pressures & Temperatures
DACA1802	3	RCS: LCV Monitoring States
DACA1803	3	RCS Cummulated On-Times, Consump
DACA1804	3	RCS Commanded Force Ratios
DACA1805	3	RCS Commanded Delay & Thrust Dur
DACA1807	3	RCS: ACM LCV & FCV Status
DACA1808	3	RCS: TCS Heater & Thermistor Rea
DACA1901	3	AOCS LCL Stat & Current 1
DACA1902	3	AOCS LCL Stat & Current 2
DACA1903	3	AOCS Temps & Volts 1
DACA1904	3	AOCS Temps & Volts 2
DACA2001	3	AOCS FM States 0-11
DACA2002	3	AOCS FM States 12-23
DACA2003	3	AOCS FM States 24-35
DACA2004	3	AOCS FM States 36-47
DACA2005	3	AOCS FM States 48-59
DACA2006	3	AOCS FM States 60-71
DACA2007	3	AOCS FM States 72-83
DACA2008	1	AOCS FM States 84-89
DACA2009	1	AOCS FM States 90-94
DACA2011	3	AOCS SM States 16-32
DACA2012	3	AOCS SM States 33-48
DACA2013	3	AOCS SM States 49-64
