1	1	177	0	0	1001	AOCMS-TC Acceptance Success Report		1001	16	N		Y			
3	25	180	1	0	1002	HK AOCMS SID1 for DMS extraction		-1	16	N		Y			
1	7	177	0	0	1006	AOCMS-Exec. Completion Report Success		1006	16	N		Y			
3	25	196	26	0	4532	AOCS HK - Configuration		-1	16	N		Y			
3	25	196	27	0	4533	AOCS HK - AOCMS summary		-1	16	N		Y			
3	25	212	51	0	4534	AOCS HK - Safe Mode		-1	16	N		Y			
3	25	212	52	0	4535	AOCS HK - Orbit Control Mode		-1	16	N		Y			
3	25	212	53	0	4536	AOCS HK - Near Sun Hibernation Mode		-1	16	N		Y			
3	25	212	54	0	4537	AOCS HK - Asteroid Flyby Mode		-1	16	N		Y			
3	25	212	55	0	4538	AOCS HK - Spin Up Mode		-1	16	N		Y			
3	25	212	56	0	4539	AOCS HK - CAM_A		-1	16	N		Y			
3	25	212	57	0	4540	AOCS HK - CAM_B		-1	16	N		Y			
3	25	212	58	0	6942	Hybrid Mode		-1	16	N		Y			
3	25	228	76	0	4541	AOCS HK - Stellar Estimator		-1	16	N		Y			
3	25	228	77	0	4542	AOCS HK - Autonomous Guidance		-1	16	N		Y			
3	25	228	78	0	4543	AOCS HK - Guidance		-1	16	N		Y			
3	25	228	79	0	4544	AOCS HK - Ground Guidance Segments		-1	16	N		Y			
3	25	228	80	0	4545	AOCS HK - Ephemerides		-1	16	N		Y			
3	25	228	81	0	4546	AOCS HK - PID control		-1	16	N		Y			
3	25	228	83	0	4548	AOCS HK - Earth Strobing Angle Segmts 1		-1	16	N		Y			
3	25	228	84	0	4549	AOCS HK - Earth Strobing Angle Segmts 2		-1	16	N		Y			
3	25	228	85	0	5377	AOCS HK - Monitoring - PROM		-1	16	N		Y			
3	25	228	86	0	6565	AOCS HK - Monitoring - EEPROM		-1	16	N		Y			
3	25	244	101	0	4550	AOCS HK - AOMCS - PROM		-1	16	N		Y			
3	25	244	102	0	4551	AOCS HK - RCS		-1	16	N		Y			
3	25	244	103	0	4552	AOCS HK - AIU		-1	16	N		Y			
3	25	244	104	0	4553	AOCS HK - IMP		-1	16	N		Y			
3	25	244	105	0	4554	AOCS HK - RWA		-1	16	N		Y			
3	25	244	106	0	4555	AOCS HK - SADE		-1	16	N		Y			
3	25	244	107	0	4556	AOCS HK - APME		-1	16	N		Y			
3	25	244	108	0	4557	AOCS HK - ACM		-1	16	N		Y			
3	25	244	109	0	4558	AOCS HK - RTU		-1	16	N		Y			
3	25	244	110	0	6566	AOCS HK - AOMCS - EEPROM		-1	16	N		Y			
3	25	260	126	0	4559	AOCS HK - STR_A acquisition		-1	16	N		Y			
3	25	260	127	0	4560	AOCS HK - STR_B acquisition		-1	16	N		Y			
