2513	1st cal - Thruster Therm (PT-200	R	U	D	degC	
2562	1rst cal - PressTrans Therm (PT-	R	U	D	degC	
25	Calib V to ?C for YSI-44907 Ther	R	I	D	degC	
26	Calib V to ?C for YSI-44907 Ther	R	U	D	degC	
27	Calib V to ?C for YSI-44907 STR/	R	U	D	degC	
28	Calib V to ?C for RWA 15K Therm.	R	U	D	degC	
29	Cal curve for HV set	R	U	D	kV	
30	Cal curve for MCP V	R	U	D	kV	
31	Cal curve for Anode V	R	U	D	V	
32	Cal curve for Strip I	R	U	D	uA	
33	Cal curve for temp sensors	R	U	D	degC	
34	Cal curve for discriminator	R	U	D	V	
35	Calib V to 0C YSI-44907 Therm	R	U	D	degC	
36	Calib V to 0C YSI-44907 Therm	R	U	D	degC	
37	Calib V to 0C YSI-44907 Therm	R	U	D	degC	
2313	Calib V to 0C YSI-44907 Therm	R	U	D	degC	
2314	Calib V to 0C for PT-2000 Therm.	R	U	D	degC	
38	OCXO Tmp	R	U	D	degC	
39	DIGI Board Tmp	R	U	D	degC	
2315	Calib V to 0C YSI-44907 Therm	R	U	D	degC	
40	PT500	R	I	D	degC	
3144	PT1000	R	I	D	DegC	
42	Temperature to Voltage	R	U	D	degC	
43	Polynomial calib for DMS SW	R	U	D	.	
44	Polynomial calib for DMS SW	R	U	D	.	
45	Polynomial calib for DMS SW	R	U	D	.	
46	First calib for Thermistor acq. 	R	U	D	degC	
47	Temperature to Voltage (SSMM)	R	U	D	degC	
48	Temperature to Voltage, CDMU1 PS	R	U	D	degC	
49	Temperature to Voltage, CDMU1 PS	R	U	D	degC	
50	Temperature to Voltage, CDMU2 PS	R	U	D	degC	
51	Temperature to Voltage, CDMU2 PS	R	U	D	degC	
2613	Generic one-to-one(AOCMS Earth D	R	R	D	km	
3056	Convert seconds to minutes	R	I	D	min	
2996	ES 5V/12V-TEMP	R	U	D	degC	
3015	ES BULK-TEMP	R	U	D	degC	
53	Threshold	R	U	D	V	
2514	FB Temperature	R	U	D	degC	
2797	Laser 1,2,3,4 Temperatures	R	U	D	degC	
2798	Laser 1 Light Mon.	R	U	D	Watt	
2799	Laser 2Light Mon.	R	U	D	Watt	
2800	Laser 3 Light Mon.	R	U	D	Watt	
2801	Laser 4 Light Mon.	R	U	D	Watt	
2802	IS Plate Temperature	R	U	D	degC	
2803	MBS1 Temperature	R	U	D	degC	
2804	MBS2 Temperature	R	U	D	degC	
2805	MBS3 Temperature	R	U	D	degC	
2806	MBS4 Temperature	R	U	D	degC	
2807	MBS5 Temperature	R	U	D	degC	
2808	PS Temperature	R	U	D	degC	
2809	+5V Power Consum - Nom	R	U	D	mA	
2810	+15V Power Consum - Nom	R	U	D	mA	
2811	-15V Power Consum - Nom	R	U	D	mA	
3179	+5V Power Consum - Red	R	U	D	mA	
3180	+15V Power Consum - Red	R	U	D	mA	
3181	-15V Power Consum - Red	R	U	D	mA	
54	Azimuth Encoder Angle	R	U	D	deg	
55	Elevation Encoder Angle	R	U	D	deg	
3016	Position Motor 2 cal	R	U	D	Nm	
57	16 bit ADC data	R	I	D	V	
59	Temperature	R	I	D	degC	
60	+15 V-Monitor	R	I	D	V	
61	HV-Monitor	R	I	D	V	
63	pulse generator pulse width	R	U	D	usec	
64	cantilever phase signal	R	I	D	deg	
65	operating point in percent	R	U	D	%	
66	frequency high value	R	U	D	Hz	
1610	frequency step/low value	R	U	D	Hz	
1611	operating point [% of free ampli	R	I	D	%	
3235	zoom factor [% of feature size]	R	U	D	%	
2316	Calib V to 0C for PT-2000 Therm.	R	U	D	degC	
2317	Calib V to 0C YSI-44907 Therm	R	U	D	degC	
67	Temperature to Voltage, RTH01	R	U	D	degC	
68	Temperature to Voltage, RTH01	R	U	D	degC	
69	Temperature to Voltage, RTH01	R	U	D	degC	
2318	Calib V to 0C YSI-44907 Therm	R	U	D	degC	
70	AnodeGrid V Filament	R	U	D	V	
71	AnodeGrid V Microtip	R	U	D	V	
72	Filament I	R	U	D	A	
73	Extraction V Microtip	R	U	D	V	
74	Total Emission I Microtip	R	U	D	mA	
75	+12V I	R	U	D	mA	
76	Ion I Filament Low	R	U	D	pA	
77	Ion I Microtip Low	R	U	D	pA	
78	Emission I Filament Low	R	U	D	uA	
79	Emission I Microtip Low	R	U	D	uA	
80	Elect. Temp	R	U	D	degC	
81	Sensor Temp	R	U	D	degC	
82	+12V Filament 	R	U	D	V	
83	-12V Filament	R	U	D	V	
84	+12V Microtip	R	U	D	V	
85	-12V Microtip	R	U	D	V	
86	COPS_Pressure	R	U	D	mbar	
87	COPS_Pressure_Grad	R	U	D	mbar	
88	MEP I MEP	R	U	D	A	
89	MEP I Float	R	U	D	A	
90	MEP MG	R	U	D	V	
91	MEP ISB	R	U	D	V	
92	MEP HVCEM DAC	R	U	D	V	
93	MEP HVACC DAC 	R	U	D	V	
94	ISC  FIL 1 Bias 	R	U	D	uA	
95	ISC  FIL 2 Bias 	R	U	D	uA	
96	ISC  FIL 1 E 2uA	R	U	D	uA	
97	ISC  FIL 1 I	R	U	D	A	
98	ISC  FIL 2 E 2uA	R	U	D	uA	
99	ISC  FIL 2 I	R	U	D	A	
100	ISC  ERP	R	U	D	V	
101	ISC  IRP1	R	U	D	V	
102	ISC  IRP2	R	U	D	V	
103	ISC  ISP	R	U	D	V	
104	ISC SLL VMON	R	U	D	V	
105	ISC SLR VMON	R	U	D	V	
106	ISC SES VMON	R	U	D	V	
107	ISC SEB VMON	R	U	D	dV	
108	ISC TLR VMON	R	U	D	V	
109	ISC TLL VMON	R	U	D	V	
110	ISC HV I	R	U	D	mA	
111	ISC HV VMON	R	U	D	V	
112	ASP E HVB DAC	R	U	D	V	
113	ASP E HVB I	R	U	D	mA	
114	ASP E FDP DAC	R	U	D	V	
115	ASP D VREF 	R	U	D	V	
116	ASP D ESS2 DAC	R	U	D	V	
117	ASP D ESS1 DAC	R	U	D	V	
118	ASP D Z2Q DAC	R	U	D	V	
119	ASP C ESAI DAC	R	U	D	V	
120	ASP C ESAO DAC	R	U	D	V	
121	ASP C ESAIT DAC	R	U	D	V	
122	ASP C Z1QV DAC	R	U	D	V	
123	ASP A HP DAC	R	U	D	V	
124	ASP A RQ DAC	R	U	D	V	
