2614	Calib for  SAS Current	0	57.295779	0	0	0
468	Calib for  SAS Current	0	.00936	0	0	0
469	calib for +5V acq. by RTU	0	.02838	0	0	0
470	calib for -15V acq. by RTU	0	-.09128	0	0	0
471	calib for +15V acq. by RTU	0	.0849	0	0	0
1828	Calib for PTX LP 1	-0.4054	0.005699375	0	0	0
1829	Calib for PTX LP 3	-0.4328	0.0057345	0	0	0
1830	Calib for PTX HP 1	-6.5489	0.07798625	0	0	0
1831	Calib for PTX LP 2	-0.4627	0.0057255	0	0	0
1832	Calib for PTX LP 4	-0.3656	0.00570375	0	0	0
1833	Calib for PTX HP 2	-6.3361	0.077755	0	0	0
478	RW Wheel Speed Magnitude	0	.50813	0	0	0
479	Calib for IMU cheksum & frame ti	0	1	0	0	0
480	Calib for IMU angles	0	.2061936	0	0	0
481	Calib for IMU velocities	0	.0753	0	0	0
482	Calib for IMU gyro laser intens.	0	.000122	0	0	0
483	Calib for FCV delay	0	.976563	0	0	0
484	Calib for FCV duration	0	.976563	0	0	0
1834	Default	0	.0035224	0	0	0
1835	Default	0	.0017752	0	0	0
1836	Default	0	.0053063	0	0	0
1837	Default	0	-.005732	0	0	0
3212	Polyn curve for STR SW	0	.01	0	0	0
2515	calib for STR SW	0	.1	0	0	0
486	trq_lsb	0	.0000573871	0	0	0
3088	lsb SF	0	.5	0	0	0
2516	Internal PSU Voltage Main	-.34592	.1194	0	0	0
2517	Internal PSU Current Main	-6.0401	8.352	0	0	0
2518	Internal PSU Voltage Main	-.27358	.1195	0	0	0
2519	Internal PSU Current Main	-45.96	7.985	0	0	0
487	identity	0	1	0	0	0
2941	Calib for Consistency Angle	0	57.2957795	0	0	0
3074	STR integration time	0	.01	0	0	0
3133	IMP Temp Scale Factor	0	.003906	0	0	0
3148	Calib avgd_gyro_cc	0	.000488	0	0	0
3149	Calib avgd_gyro_dpo	0	.015625	0	0	0
3150	Calib avgd_gyro_plc	0	.00781	0	0	0
3151	Calib avgd_gyro_sbs	0	.000488	0	0	0
3152	Calib avgd_volt_ref	0	.000488	0	0	0
3153	Calib avgd_neg_15v	0	.000977	0	0	0
3154	Calib avgd_neg_750v	0	.0313	0	0	0
3155	Calib avgd_plus_15v	0	.000977	0	0	0
3156	Calib avgd_plus_5v	0	.000488	0	0	0
1838	T2_TMU	-272.1	.1223948	0	0	0
491	V_P15_LVC	0	.00246136	0	0	0
492	V_P5_LVC	.00564435	.00122243	0	0	0
493	V_M5_LVC	.00564435	.00122243	0	0	0
494	V_M15_LVC	0	.00245483	0	0	0
495	C_P15_LVC	-.00113353	.00021968	0	0	0
496	C_P5_LVC	.00800534	.00053465	0	0	0
497	C_M5_LVC	.00037459	.0000506	0	0	0
498	C_M15_LVC	.00882734	.00011099	0	0	0
499	V_EL1	-4.3383775	-.48590149	0	0	0
500	V_TOF1	-.5094413	-.04893807	0	0	0
501	V_TOF2	-.58125797	-.0490352	0	0	0
502	V_DT	-1.6467964	-.16235991	0	0	0
503	V_PA	-23.8936289	-1.46359634	0	0	0
504	V_DET	-6.59405846	-.48759269	0	0	0
505	V_DX_TOF	-1.3043	.00291982	0	0	0
506	V_DY_TOF	-1.33057142	.00292869	0	0	0
507	V_L1	-9.24502736	-1.22370501	0	0	0
508	V_L2	-9.20853113	-1.22149435	0	0	0
509	V_BS1	-2.12936546	-.24298752	0	0	0
510	V_BS2	-2.3117209	-.24266014	0	0	0
511	V_CB1	-.48309	-.0489886	0	0	0
512	V_CB2	-.44113151	-.04895386	0	0	0
513	V_DX_PIBS	-22.8865472	.05239846	0	0	0
514	V_DY_PIBS	-22.8506413	.05236318	0	0	0
515	DOSE	0	1	0	0	0
